card_id,client_id,card_type
4524,825,Debit
2731,825,Debit
3701,825,Debit
42,825,Credit
4659,825,Debit (Prepaid)
4537,1746,Credit
1278,1746,Debit
3687,1746,Debit
3465,1746,Debit (Prepaid)
3754,1746,Debit (Prepaid)
5144,1718,Debit
2029,1718,Debit
2379,1718,Debit
2732,1718,Debit
4706,1718,Debit
281,708,Credit
1106,708,Debit (Prepaid)
5621,708,Debit
5165,708,Debit
5757,1164,Debit
27,68,Credit
4648,68,Debit
5435,68,Credit
3287,1075,Debit
4761,1075,Credit
5286,1075,Debit
744,1711,Debit
5559,1116,Debit
4905,1116,Debit
79,1116,Credit
301,1116,Credit
3115,1116,Debit
3880,1752,Debit
1766,192,Debit
1767,192,Debit
745,640,Debit
1459,1679,Debit
138,1094,Debit
3755,1094,Debit
1768,1094,Credit
5924,1590,Debit
6074,1660,Debit (Prepaid)
5923,1660,Credit
4223,1660,Credit
4455,1660,Debit
3234,1660,Credit
1005,1660,Debit
151,1747,Debit
4198,1747,Debit
4403,1747,Debit
4120,1747,Credit
4224,1747,Debit
4895,1747,Credit
1028,153,Credit
5956,153,Debit
107,153,Debit
440,153,Debit
746,429,Debit
1769,429,Debit
421,429,Credit
974,511,Debit (Prepaid)
4707,511,Debit
7,511,Debit
2212,511,Debit
1038,511,Credit
1460,309,Debit
747,309,Credit
1770,309,Credit
748,777,Debit
441,777,Debit
3679,1946,Debit
5701,1946,Credit
4510,1674,Debit
2873,1674,Credit
1461,482,Credit
442,877,Debit
3877,877,Credit
2296,877,Debit
5048,128,Debit
1462,128,Credit
4269,775,Debit
5188,1536,Debit
2874,1536,Credit
3041,140,Debit
5312,140,Debit
4150,140,Debit
152,140,Debit
443,1884,Debit (Prepaid)
3377,1874,Debit
5789,1874,Credit
2106,1874,Debit
2078,1874,Debit
5866,1310,Credit
173,1310,Credit
1771,1689,Credit
6132,1689,Debit
327,379,Credit
2019,379,Debit
3881,379,Debit
1166,34,Debit
3342,34,Debit (Prepaid)
5622,822,Credit
5424,822,Debit
2558,822,Debit
5385,822,Credit
5596,822,Debit (Prepaid)
3991,1499,Credit
6126,1780,Credit
3756,1806,Debit
971,811,Credit
2079,811,Debit
387,811,Credit
444,811,Debit
5277,811,Debit
4358,811,Debit
2318,811,Debit
6019,1844,Debit (Prepaid)
4421,1844,Credit
3702,1844,Debit
2854,1844,Credit
4114,1844,Debit
28,1852,Debit
6127,1852,Debit (Prepaid)
