user_id,client_id,total_amount,generation_age,gender,latitude,longitude,credit_score,credit_score_group
1849,1849,424980,millennials,Female,47.13,-122.4,721,good
827,827,301526,baby boomer,Female,43.1,-75.23,616,fair
601,601,249046,baby boomer,Male,28.5,-81.37,761,very good
1102,1102,1109732,gen X,Female,36.12,-95.91,707,good
757,757,586271,baby boomer,Female,40.64,-73.94,691,good
1492,1492,486809,baby boomer,Female,47.32,-121.99,786,very good
1662,1662,981540,gen X,Male,38.53,-90.0,712,good
1299,1299,261440,gen X,Female,39.29,-85.76,723,good
1533,1533,595477,millennials,Female,39.77,-86.14,830,excellent
1737,1737,269420,gen X,Male,42.46,-82.94,739,good
1846,1846,188780,silent generation,Male,36.74,-91.86,566,poor
75,75,417771,silent generation,Female,29.76,-95.38,564,poor
1546,1546,302340,gen X,Male,43.3,-71.33,668,fair
1183,1183,328556,gen X,Male,38.31,-85.76,740,very good
1320,,,millennials,Female,34.02,-118.28,604,fair
1960,,,millennials,Male,38.96,-76.85,612,fair
1044,,,millennials,Male,36.44,-82.34,693,good
945,,,gen Z,Male,32.79,-117.25,705,good
1691,,,gen Z,Female,35.12,-81.51,692,good
505,,,millennials,Female,25.77,-80.29,609,fair
991,,,gen X,Male,41.37,-82.1,554,poor
974,,,baby boomer,Male,34.73,-82.25,644,fair
1291,1291,439068,gen X,Male,38.21,-91.16,699,good
1445,1445,256963,baby boomer,Male,41.12,-85.87,841,excellent
249,249,286126,gen X,Female,34.1,-117.38,618,fair
37,37,399379,gen X,Female,43.31,-76.57,683,good
1286,1286,716450,gen X,Female,42.76,-78.74,602,fair
849,849,217173,baby boomer,Female,39.95,-75.16,711,good
291,291,603041,baby boomer,Female,34.76,-84.97,793,very good
162,162,522150,millennials,Male,42.56,-83.38,771,very good
1026,1026,313524,silent generation,Male,36.52,-119.39,714,good
868,868,619281,silent generation,Male,35.46,-97.51,706,good
877,877,531445,millennials,Female,33.44,-111.85,610,fair
1133,1133,311252,millennials,Female,43.11,-77.8,684,good
172,172,232456,gen X,Female,39.85,-88.93,730,good
1039,1039,564382,baby boomer,Male,34.04,-118.21,536,poor
1996,1996,343969,gen X,Female,29.43,-95.24,728,good
858,858,423436,gen X,Male,29.5,-97.44,700,good
356,356,729030,gen X,Female,27.19,-80.24,691,good
776,776,851428,baby boomer,Male,35.1,-90.0,616,fair
1246,1246,320083,gen X,Female,30.76,-88.12,713,good
1556,1556,228711,millennials,Female,46.8,-100.76,740,very good
920,920,140240,gen X,Female,35.11,-106.62,700,good
1609,1609,428425,baby boomer,Female,38.78,-77.27,779,very good
1364,1364,57454,gen X,Male,32.93,-97.22,750,very good
799,799,256764,millennials,Female,42.88,-78.85,686,good
1289,1289,26673,millennials,Male,26.14,-80.13,758,very good
731,731,242210,millennials,Male,40.32,-118.2,703,good
116,116,391644,millennials,Male,42.95,-77.59,685,good
897,897,56009,millennials,Female,31.07,-83.19,501,poor
1188,,,gen Z,Female,36.3,-115.24,626,fair
1590,,,gen X,Female,29.45,-98.5,599,fair
1049,,,baby boomer,Female,25.77,-80.2,850,excellent
853,,,millennials,Female,42.46,-83.37,723,good
785,,,gen Z,Male,38.16,-121.93,740,very good
1290,,,gen X,Male,33.1,-96.66,669,fair
606,,,gen X,Male,39.4,-88.8,747,very good
1798,,,silent generation,Male,40.69,-89.43,517,poor
484,,,silent generation,Female,42.7,-71.11,718,good
761,,,gen Z,Female,21.45,-158.01,726,good
1718,1718,856554,silent generation,Female,34.02,-117.89,698,good
1500,1500,442273,gen X,Male,38.44,-121.3,680,good
649,649,240932,gen X,Male,41.5,-74.02,847,excellent
1391,1391,929865,gen X,Male,40.72,-73.86,631,fair
38,38,512938,gen X,Female,26.63,-81.85,621,fair
803,803,247943,baby boomer,Female,37.53,-120.84,635,fair
1764,1764,280442,baby boomer,Male,42.96,-85.65,710,good
905,905,794341,baby boomer,Male,37.55,-122.26,701,good
790,790,403035,millennials,Female,32.9,-116.89,743,very good
1567,1567,577484,gen X,Female,42.1,-76.26,747,very good
1830,1830,469032,baby boomer,Male,35.05,-83.19,758,very good
944,944,1077169,baby boomer,Male,33.77,-118.34,789,very good
1875,1875,448303,baby boomer,Male,40.89,-81.58,683,good
180,180,228888,millennials,Female,33.53,-112.18,840,excellent
1753,1753,389193,gen X,Male,32.28,-90.0,506,poor
1387,,,millennials,Male,35.72,-78.84,785,very good
1175,,,silent generation,Male,40.84,-73.87,770,very good
1714,,,gen Z,Female,30.06,-95.38,794,very good
412,,,millennials,Male,36.07,-94.15,810,excellent
1747,,,gen X,Male,32.15,-94.79,719,good
1804,,,gen Z,Male,41.56,-70.55,701,good
1465,,,millennials,Female,39.53,-84.08,801,excellent
1480,,,gen X,Male,35.11,-106.62,705,good
1327,,,gen Z,Female,45.94,-122.67,688,good
240,240,233043,gen X,Male,36.21,-83.29,745,very good
677,677,448866,gen X,Male,44.94,-93.1,729,good
1785,1785,232413,gen X,Male,25.92,-97.48,607,fair
161,161,394820,millennials,Male,31.56,-97.18,731,good
1897,1897,695197,millennials,Male,40.87,-73.4,741,very good
1348,1348,80877,silent generation,Male,40.64,-73.94,667,fair
