user_id,gender,birth_year,current_age,generation_age,yearly_income,credit_score,credit_score_group,latitude,longitude
825,Female,1966,53,gen X,59696,787,very good,34.15,-117.76
1746,Female,1966,53,gen X,77254,701,good,40.76,-73.74
1718,Female,1938,81,silent generation,33483,698,good,34.02,-117.89
708,Female,1957,63,baby boomer,249925,722,good,40.71,-73.99
1164,Male,1976,43,gen X,109687,675,good,37.76,-122.44
68,Male,1977,42,gen X,41997,704,good,41.55,-90.6
1075,Female,1983,36,millennials,51500,672,good,38.22,-85.74
1711,Male,1993,26,millennials,54623,728,good,45.51,-122.64
1116,Female,1938,81,silent generation,42509,755,very good,40.32,-75.32
1752,Female,1986,34,millennials,38190,810,excellent,29.97,-92.12
192,Male,1992,27,millennials,56164,761,very good,38.65,-121.25
640,Female,1990,29,millennials,45727,629,fair,40.42,-104.74
1679,Female,2002,18,gen Z,69149,776,very good,41.76,-71.48
1094,Male,1985,34,millennials,41442,712,good,44.75,-85.6
1590,Female,1971,48,gen X,20513,599,fair,29.45,-98.5
1660,Female,1978,41,gen X,23123,723,good,36.73,-102.51
1747,Male,1966,54,gen X,36497,719,good,32.15,-94.79
153,Female,1943,76,silent generation,27484,660,fair,35.29,-111.32
429,Male,1997,22,gen Z,53995,683,good,35.19,-80.83
511,Male,1953,66,baby boomer,35602,661,fair,32.21,-110.88
309,Male,1991,28,millennials,25122,819,excellent,32.07,-82.91
777,Male,2002,18,gen Z,216740,700,good,37.37,-122.21
1946,Male,1943,76,silent generation,41109,698,good,41.47,-81.67
1674,Male,1949,70,baby boomer,26858,712,good,35.49,-90.35
482,Male,1975,45,gen X,34929,714,good,42.39,-122.93
877,Female,1983,36,millennials,34317,610,fair,33.44,-111.85
128,Female,1979,40,gen X,31377,722,good,29.76,-95.38
775,Male,1982,37,millennials,43638,627,fair,34.17,-118.46
1536,Male,1978,41,gen X,32531,766,very good,36.15,-85.5
140,Female,1983,37,millennials,42120,739,good,36.28,-86.83
1884,Male,2001,18,gen Z,57281,850,excellent,39.98,-82.98
1874,Male,1970,49,gen X,38390,783,very good,25.77,-80.2
1310,Female,1986,33,millennials,35670,751,very good,33.92,-78.02
1689,Female,1998,21,gen Z,61746,637,fair,41.29,-72.36
379,Female,1972,47,gen X,43496,765,very good,30.68,-88.04
34,Male,1978,41,gen X,51854,737,good,38.48,-121.34
822,Female,1968,51,gen X,34540,793,very good,32.61,-117.03
1499,Male,1973,46,gen X,41287,662,fair,41.97,-88.14
1780,Male,1973,46,gen X,38054,666,fair,36.62,-121.82
1806,Female,1961,59,baby boomer,80371,822,excellent,42.31,-71.64
811,Female,1929,91,silent generation,84694,741,very good,38.9,-94.68
1844,Male,1941,79,silent generation,37503,706,good,27.8,-97.39
1852,Male,1962,57,baby boomer,65357,685,good,33.27,-111.94
1231,Female,1994,26,millennials,22066,842,excellent,26.41,-81.42
970,Male,1977,42,gen X,44681,770,very good,29.1,-81.0
381,Male,1994,26,millennials,51306,675,good,38.72,-90.47
1134,Female,2002,18,gen Z,25847,568,poor,29.45,-98.5
1296,Female,1959,60,baby boomer,46683,788,very good,28.7,-81.34
1880,Male,1958,61,baby boomer,31579,771,very good,43.06,-87.96
322,Male,1972,47,gen X,28055,829,excellent,31.22,-84.21
461,Female,1977,42,gen X,65403,784,very good,42.3,-83.48
1165,Female,1964,55,baby boomer,27572,797,very good,36.37,-84.12
1448,Female,1971,48,gen X,38539,850,excellent,35.05,-82.09
1288,Female,1978,41,gen X,38059,634,fair,38.47,-81.81
1178,Female,1960,59,baby boomer,52754,693,good,30.56,-97.86
1391,Male,1975,45,gen X,51196,631,fair,40.72,-73.86
838,Male,1993,26,millennials,49713,763,very good,33.78,-84.44
54,Female,1998,21,gen Z,44160,696,good,41.66,-83.58
1452,Female,1973,46,gen X,193773,660,fair,29.76,-95.38
1602,Female,1979,41,gen X,29864,717,good,40.38,-77.88
1938,Male,1997,22,gen Z,57367,795,very good,29.45,-98.5
1492,Female,1957,63,baby boomer,56635,786,very good,47.32,-121.99
688,Male,1975,44,gen X,47227,760,very good,41.31,-111.96
749,Male,1997,22,gen Z,24574,674,good,32.75,-97.33
643,Female,1991,29,millennials,43397,697,good,40.69,-73.75
1219,Female,1991,28,millennials,58105,688,good,38.68,-76.17
1198,Male,1937,82,silent generation,10869,820,excellent,29.5,-97.44
898,Female,1929,90,silent generation,19893,566,poor,40.59,-75.47
882,Male,1956,63,baby boomer,36743,612,fair,40.39,-82.47
348,Female,1970,49,gen X,46377,719,good,40.22,-74.76
633,Female,1983,36,millennials,50179,743,very good,33.88,-118.27
1493,Male,1989,30,millennials,54537,765,very good,38.22,-122.55
1161,Male,1996,23,gen Z,49255,823,excellent,28.68,-81.51
217,Male,1977,42,gen X,31031,744,very good,41.77,-87.82
1877,Male,1955,65,baby boomer,70673,714,good,32.92,-96.45
668,Female,1932,87,silent generation,16342,747,very good,33.52,-86.79
533,Male,1997,22,gen Z,30961,677,good,32.71,-102.65
203,Female,1961,58,baby boomer,30305,776,very good,32.9,-80.93
1738,Male,1989,30,millennials,68784,696,good,35.67,-97.41
713,Female,1994,25,millennials,34745,691,good,48.19,-114.38
1631,Female,2001,18,gen Z,64715,740,very good,30.44,-91.12
1487,Female,1961,59,baby boomer,80464,727,good,40.69,-80.01
1265,Female,2002,18,gen Z,49748,748,very good,40.43,-79.97
370,Male,1958,61,baby boomer,41904,655,fair,34.07,-117.62
1014,Female,1965,54,gen X,196784,729,good,33.6,-117.82
290,Female,1992,27,millennials,100837,687,good,42.4,-83.6
985,Male,1987,32,millennials,51654,600,fair,42.8,-83.71
135,Female,1955,64,baby boomer,38088,691,good,39.72,-82.59
307,Male,2001,18,gen Z,36866,680,good,30.23,-92.81
1783,Male,1967,52,gen X,37607,749,very good,37.78,-122.24
1321,Female,1970,49,gen X,34480,696,good,40.26,-103.79
1511,Male,1977,43,gen X,48279,719,good,43.07,-89.38
900,Male,1983,36,millennials,32896,735,good,30.17,-85.67
953,Male,2001,18,gen Z,29909,664,fair,33.78,-117.33
233,Female,1982,37,millennials,47464,716,good,44.96,-93.26
406,Female,1996,23,gen Z,85128,641,fair,37.3,-122.0
1069,Male,1965,54,gen X,45852,615,fair,35.3,-81.03
180,Female,1986,33,millennials,26556,840,excellent,33.53,-112.18
996,Female,1956,63,baby boomer,40194,738,good,26.02,-80.16
1866,Male,1998,22,gen Z,62135,676,good,32.85,-96.96
1981,Male,1972,48,gen X,39303,702,good,26.63,-81.99
870,Female,1956,63,baby boomer,71593,821,excellent,38.64,-76.9
16,Male,1944,75,silent generation,22158,681,good,41.88,-87.84
46,Male,1957,62,baby boomer,53996,632,fair,40.66,-73.84
800,Female,1991,28,millennials,26025,723,good,30.44,-87.18
1968,Female,1994,25,millennials,63816,775,very good,40.94,-73.86
697,Female,1964,56,baby boomer,66230,742,very good,35.72,-78.84
1269,Male,1963,56,baby boomer,36335,676,good,41.83,-87.68
1782,Female,1961,59,baby boomer,39633,777,very good,33.74,-117.99
1977,Female,1976,43,gen X,57185,773,very good,41.5,-87.5
1734,Male,1982,37,millennials,82637,739,good,33.95,-84.54
1913,Female,1960,60,baby boomer,31121,619,fair,42.47,-83.49
858,Male,1972,47,gen X,30774,700,good,29.5,-97.44
606,Male,1971,48,gen X,33236,747,very good,39.4,-88.8
1564,Male,1984,35,millennials,37947,683,good,35.2,-101.81
1109,Male,1995,24,gen Z,43875,639,fair,37.68,-97.34
1301,Female,1993,26,millennials,61850,728,good,38.1,-122.63
1399,Male,1991,28,millennials,40314,707,good,32.08,-81.1
1775,Male,1993,26,millennials,37968,788,very good,38.91,-75.43
